# cv  sampled_fes  reweighted_fes
1.10323 0.115978 7.92345
1.12425 0.0995357 8.03378
1.14526 0.08601 8.18547
1.16628 0.0760456 8.37894
1.18729 0.0703983 8.61466
1.2083 0.0698744 8.89315
1.22932 0.0752621 9.21499
1.25033 0.0872682 9.58078
1.27135 0.106471 9.99107
1.29236 0.133299 10.4464
1.31337 0.168045 10.9472
1.33439 0.210903 11.4938
1.3554 0.262026 12.0863
1.37642 0.321584 12.7246
1.39743 0.389802 13.4087
1.41844 0.46698 14.1381
1.43946 0.553473 14.9121
1.46047 0.649658 15.7299
1.48149 0.755883 16.5908
1.5025 0.872417 17.4935
1.52351 0.999405 18.4371
1.54453 1.13684 19.4205
1.56554 1.2845 20.4427
1.58656 1.44196 21.5028
1.60757 1.60852 22.6
1.62858 1.78315 23.7339
1.6496 1.9645 24.9038
1.67061 2.15089 26.1094
1.69163 2.34037 27.3502
1.71264 2.53084 28.6257
1.73365 2.72019 29.9354
1.75467 2.90655 31.2782
1.77568 3.0884 32.6531
1.7967 3.26476 34.0585
1.81771 3.43517 35.4923
1.83872 3.59966 36.952
1.85974 3.75856 38.4345
1.88075 3.91237 39.936
1.90177 4.06155 41.4525
1.92278 4.20646 42.9796
1.94379 4.34726 44.5128
1.96481 4.48394 46.0473
1.98582 4.61633 47.5783
2.00684 4.74412 49.1003
2.02785 4.86685 50.6068
2.04886 4.98388 52.0891
2.06988 5.09435 53.5353
2.09089 5.1972 54.9298
2.11191 5.29122 56.2525
2.13292 5.37507 57.4781
2.15393 5.44741 58.5747
2.17495 5.50691 59.4988
2.19596 5.55226 60.1909
2.21698 5.58221 60.5774
2.23799 5.59559 60.5962
2.259 5.59136 60.2384
2.28002 5.5688 59.5615
2.30103 5.52774 58.6546
2.32205 5.46875 57.5969
2.34306 5.39317 56.4429
2.36407 5.30299 55.2253
2.38509 5.20051 53.9629
2.4061 5.08792 52.6673
2.42712 4.96696 51.3463
2.44813 4.83865 50.0061
2.46914 4.70332 48.6518
2.49016 4.56086 47.288
2.51117 4.411 45.9188
2.53219 4.25372 44.5477
2.5532 4.08948 43.1781
2.57421 3.9193 41.8128
2.59523 3.74469 40.4541
2.61624 3.56745 39.1042
2.63726 3.38944 37.7648
2.65827 3.2124 36.4376
2.67928 3.03787 35.1236
2.7003 2.86709 33.8241
2.72131 2.70108 32.5399
2.74233 2.54058 31.2719
2.76334 2.3861 30.021
2.78435 2.23792 28.788
2.80537 2.09612 27.5738
2.82638 1.96056 26.3793
2.8474 1.83095 25.2054
2.86841 1.7069 24.0534
2.88942 1.58798 22.9242
2.91044 1.47375 21.8193
2.93145 1.36383 20.7396
2.95247 1.25782 19.6866
2.97348 1.15538 18.6612
2.99449 1.05613 17.6644
3.01551 0.959732 16.6969
3.03652 0.865842 15.7594
3.05754 0.774219 14.852
3.07855 0.684774 13.975
3.09956 0.597636 13.1283
3.12058 0.513181 12.3118
3.14159 0.432033 11.5255
