# cv  sampled_fes  reweighted_fes
1.10323 6.03991 7.9891
1.12425 6.12874 8.09883
1.14526 6.2411 8.25313
1.16628 6.37617 8.45105
1.18729 6.5332 8.69152
1.2083 6.71161 8.97347
1.22932 6.91103 9.29606
1.25033 7.13134 9.65883
1.27135 7.37267 10.0618
1.29236 7.63534 10.5057
1.31337 7.91977 10.9916
1.33439 8.22634 11.5209
1.3554 8.55518 12.0956
1.37642 8.90599 12.7174
1.39743 9.27784 13.388
1.41844 9.66902 14.1089
1.43946 10.0771 14.8816
1.46047 10.4988 15.7071
1.48149 10.9307 16.5866
1.5025 11.3694 17.5215
1.52351 11.8121 18.5131
1.54453 12.2575 19.5634
1.56554 12.7056 20.6746
1.58656 13.1582 21.8494
1.60757 13.6179 23.0907
1.62858 14.0874 24.4016
1.6496 14.5683 25.7853
1.67061 15.0597 27.2446
1.69163 15.557 28.7823
1.71264 16.0515 30.4003
1.73365 16.5306 32.1001
1.75467 16.9797 33.8819
1.77568 17.3859 35.7447
1.7967 17.7427 37.6853
1.81771 18.0529 39.6976
1.83872 18.3283 41.7717
1.85974 18.5866 43.8926
1.88075 18.8464 46.0399
1.90177 19.123 48.1888
1.92278 19.4261 50.3145
1.94379 19.7583 52.3993
1.96481 20.1153 54.4389
1.98582 20.486 56.4447
2.00684 20.8546 58.4397
2.02785 21.2038 60.4508
2.04886 21.52 62.5028
2.06988 21.7974 64.6152
2.09089 22.0385 66.8017
2.11191 22.2512 69.0708
2.13292 22.4423 71.4267
2.15393 22.6116 73.8703
2.17495 22.7494 76.3988
2.19596 22.8379 79.0048
2.21698 22.8582 81.6636
2.23799 22.8003 84.218
2.259 22.6704 85.6285
2.28002 22.4892 84.1709
2.30103 22.2846 81.3127
2.32205 22.083 78.3036
2.34306 21.9038 75.3452
2.36407 21.7578 72.4619
2.38509 21.6475 69.657
2.4061 21.5674 66.9301
2.42712 21.5046 64.2798
2.44813 21.44 61.7039
2.46914 21.3501 59.2003
2.49016 21.2119 56.7668
2.51117 21.0089 54.4017
2.53219 20.7368 52.104
2.5532 20.4036 49.8733
2.57421 20.026 47.7099
2.59523 19.6225 45.6147
2.61624 19.2076 43.5889
2.63726 18.79 41.6339
2.65827 18.3722 39.7508
2.67928 17.9524 37.9403
2.7003 17.5265 36.2024
2.72131 17.0909 34.5361
2.74233 16.6441 32.9395
2.76334 16.1875 31.4095
2.78435 15.7249 29.942
2.80537 15.2613 28.5322
2.82638 14.8013 27.1745
2.8474 14.3485 25.8636
2.86841 13.9043 24.5944
2.88942 13.4682 23.363
2.91044 13.0384 22.1667
2.93145 12.6119 21.0046
2.95247 12.1855 19.8769
2.97348 11.7561 18.7849
2.99449 11.3216 17.7303
3.01551 10.8808 16.7148
3.03652 10.4338 15.7398
3.05754 9.98168 14.806
3.07855 9.52633 13.9134
3.09956 9.07007 13.061
3.12058 8.61535 12.2476
3.14159 8.16443 11.4713
