# cv  sampled_fes  reweighted_fes
1.10323 0.0458281 7.6367
1.12425 0.0265448 7.75052
1.14526 0.0121319 7.90629
1.16628 0.00307047 8.10432
1.18729 -0 8.34496
1.2083 0.00368441 8.62854
1.22932 0.0149839 8.95541
1.25033 0.0348379 9.32588
1.27135 0.0642568 9.74022
1.29236 0.104318 10.1986
1.31337 0.156156 10.7013
1.33439 0.220942 11.2482
1.3554 0.299861 11.8393
1.37642 0.39407 12.4747
1.39743 0.504673 13.1541
1.41844 0.632704 13.8774
1.43946 0.779121 14.6445
1.46047 0.944822 15.455
1.48149 1.13067 16.3088
1.5025 1.33752 17.2055
1.52351 1.56625 18.1447
1.54453 1.81774 19.126
1.56554 2.09286 20.1488
1.58656 2.39245 21.2123
1.60757 2.71726 22.3158
1.62858 3.06781 23.4583
1.6496 3.4444 24.6386
1.67061 3.84697 25.8557
1.69163 4.27502 27.1083
1.71264 4.72762 28.3953
1.73365 5.20332 29.7154
1.75467 5.70022 31.0674
1.77568 6.21604 32.4502
1.7967 6.74824 33.8624
1.81771 7.29418 35.3027
1.83872 7.85131 36.7696
1.85974 8.41732 38.2612
1.88075 8.99011 39.7751
1.90177 9.56771 41.3083
1.92278 10.1479 42.8573
1.94379 10.728 44.4176
1.96481 11.3042 45.9837
1.98582 11.8713 47.5496
2.00684 12.4231 49.1081
2.02785 12.9524 50.6513
2.04886 13.4524 52.1701
2.06988 13.9166 53.6537
2.09089 14.3398 55.088
2.11191 14.7165 56.4543
2.13292 15.0407 57.7263
2.15393 15.3038 58.8667
2.17495 15.4957 59.8239
2.19596 15.6062 60.5319
2.21698 15.6282 60.9223
2.23799 15.5602 60.9509
2.259 15.4067 60.6238
2.28002 15.1761 59.9942
2.30103 14.8781 59.1345
2.32205 14.5219 58.1097
2.34306 14.1155 56.969
2.36407 13.6666 55.7461
2.38509 13.1828 54.4638
2.4061 12.6721 53.1376
2.42712 12.1424 51.7788
2.44813 11.6013 50.3959
2.46914 11.0551 48.9962
2.49016 10.5089 47.5861
2.51117 9.9664 46.171
2.53219 9.43007 44.756
2.5532 8.90173 43.3453
2.57421 8.38273 41.9423
2.59523 7.87436 40.5499
2.61624 7.37802 39.1702
2.63726 6.89529 37.8051
2.65827 6.42789 36.4557
2.67928 5.97763 35.1232
2.7003 5.54622 33.8083
2.72131 5.13517 32.5118
2.74233 4.74573 31.2343
2.76334 4.3788 29.9765
2.78435 4.03491 28.739
2.80537 3.71425 27.5223
2.82638 3.41668 26.3273
2.8474 3.14176 25.1548
2.86841 2.88876 24.0054
2.88942 2.65674 22.8801
2.91044 2.44455 21.7795
2.93145 2.25086 20.7046
2.95247 2.07421 19.6561
2.97348 1.91302 18.6346
2.99449 1.76568 17.6408
3.01551 1.63054 16.6753
3.03652 1.50602 15.7385
3.05754 1.39062 14.8308
3.07855 1.28294 13.9528
3.09956 1.1818 13.1045
3.12058 1.08618 12.2863
3.14159 0.995339 11.4982
